Sample_Name,Strain_Alias,Heterozygosity,Introgressions,Fraction_Heterozygous_Introgressions,Phylogenetic_Clade,Main_Ancestral_pop,Main_Anc_Pop_Q,Secondary_Ancestral_Pop,Secondary_Anc_Pop_Q,used_in_ADMIXTURE,Used_in_supporting_phylogenies,Used_in_main_phylogeny,Used_in_MDSA,Reference,,,,,,,,,,,,
DL5,DL5,0.257,166,0.55,Mexican_Agave_2,9,0.75,19,0.24,1,1,1,1,"Kirchmayr et al., LWT- Food Science and Technology, 2017",,,,,,,,,,,,
1602a,1602a,0.015,124,0.17,Mexican_Agave_2,12,1,19,0,1,1,1,1,"Verdugo-Valdez et al., A v L, 2011",,,,,,,,,,,,
MGL11,MGL11,0.05,123,0.2,Mexican_Agave_2,14,0.45,12,0.39,1,1,1,1,"Kirchmayr et al, CIATEJ, 2014",,,,,,,,,,,,
MGL21,MGL21,0.15,141,0.26,Mexican_Agave_2,12,0.61,14,0.26,1,1,1,1,"Kirchmayr et al, CIATEJ, 2014",,,,,,,,,,,,
MGL27,MGL27,0.014,124,0.16,Mexican_Agave_2,12,0.62,14,0.29,1,1,1,1,"Kirchmayr et al, CIATEJ, 2014",,,,,,,,,,,,
M4T3,M4T3,0.014,117,0.16,Mexican_Agave_2,6,0.97,15,0.03,1,1,1,1,"This study, provided by Manuel Kirchmayr and Anne Gschaedler",,,,,,,,,,,,
1103,1103,0.343,51,0.45,Tequila_Distillery,18,0.71,21,0.11,1,1,,1,"Alvarez-Ainza ML et al., App Biochem and Biotech, 2015",,,,,,,,,,,,
1178,1178,0.011,128,0.07,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Alvarez-Ainza ML et al., App Biochem and Biotech, 2015",,,,,,,,,,,,
1147,1147,0.011,132,0.09,Mexican_Agave_2,23,1,7,0,1,1,1,1,"Alvarez-Ainza ML et al., App Biochem and Biotech, 2015",,,,,,,,,,,,
1168,1168,0.011,134,0.09,Mexican_Agave_2,23,1,9,0,1,1,1,1,"Alvarez-Ainza ML et al., App Biochem and Biotech, 2015",,,,,,,,,,,,
YMX003697,YMX003697,0.016,121,0.18,Mexican_Agave_2,6,0.97,12,0.03,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003553,YMX003553,0.015,125,0.18,Mexican_Agave_2,6,1,12,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003625,YMX003625,0.016,118,0.12,Mexican_Agave_2,14,0.56,12,0.44,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003673,YMX003673,0.142,129,0.3,Mexican_Agave_2,14,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001298,YMX001298,0.013,142,0.11,Mexican_Agave_2,6,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001684,YMX001684,0.127,153,0.27,Mexican_Agave_2,14,0.57,19,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX000673,YMX000673,0.101,130,0.26,Mexican_Agave_2,14,0.69,19,0.31,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001756,YMX001756,0.015,125,0.14,Mexican_Agave_2,14,0.65,19,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001922,YMX001922,0.13,143,0.33,Mexican_Agave_2,14,0.92,12,0.08,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001566,YMX001566,0.124,125,0.35,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002185,YMX002185,0.123,124,0.35,Mexican_Agave_2,19,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002190,YMX002190,0.217,155,0.49,Mexican_Agave_2,19,0.57,14,0.27,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002116,YMX002116,0.192,145,0.48,Mexican_Agave_2,9,0.35,14,0.33,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002090,YMX002090,0.176,141,0.39,Mexican_Agave_2,14,0.56,19,0.42,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002521,YMX002521,0.015,120,0.18,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002665,YMX002665,0.013,129,0.1,Mexican_Agave_2,6,0.87,15,0.08,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003402,YMX003402,0.084,171,0.31,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003404,YMX003404,0.171,124,0.35,Mexican_Agave_1,7,1,4,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003390,YMX003390,0.177,156,0.56,Mexican_Agave_1,7,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX003337,YMX003337,0.03,29,0.21,Wild_North_American,0,0.83,23,0.08,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001901,YMX001901,0.028,62,0.27,Wild_North_American,0,0.5,7,0.48,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001945,YMX001945,0.028,40,0.1,Wild_North_American,0,0.53,7,0.47,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001949,YMX001949,0.031,29,0.1,Wild_North_American,0,0.62,1,0.27,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX001951,YMX001951,0.177,152,0.47,Mexican_Agave_1,7,1,0,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002458,YMX002458,0.014,126,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002461,YMX002461,0.014,122,0.15,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002466,YMX002466,0.015,118,0.17,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002449,YMX002449,0.015,122,0.15,Mexican_Agave_2,12,1,4,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002468,YMX002468,0.014,125,0.16,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002450,YMX002450,0.013,127,0.17,Mexican_Agave_2,12,1,9,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002452,YMX002452,0.013,127,0.17,Mexican_Agave_2,12,1,8,0,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002642,YMX002642,0.181,138,0.35,Mexican_Agave_2,19,0.66,9,0.34,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
YMX002573,YMX002573,0.017,124,0.17,Mexican_Agave_2,12,0.59,6,0.38,1,1,1,1,"Gallegos-Casillas et al., Yeast, 2024",,,,,,,,,,,,
