Comparación	Mean_Fst	Weighted_Fst
AfrBeer_vs_AfricanPalmWine	0.34765	0.59753
AfrBeer_vs_AleBeer	0.23924	0.39797
AfrBeer_vs_Alpechin	0.40444	0.64108
AfrBeer_vs_AsianIslands_MR3	0.23811	0.47203
AfrBeer_vs_CHNIII	0.23919	0.40036
AfrBeer_vs_CHNI	0.3883	0.72948
AfrBeer_vs_CHNIV	0.33326	0.59668
AfrBeer_vs_FEAsia	0.18008	0.57596
AfrBeer_vs_FERussia	0.34222	0.5661
AfrBeer_vs_FG	0.58688	0.80809
AfrBeer_vs_FrenDairy	0.1008	0.20469
AfrBeer_vs_Mal19yCHNV	0.26756	0.48497
AfrBeer_vs_MedOak	0.22773	0.40557
AfrBeer_vs_MixOrigin8	0.31326	0.37566
AfrBeer_vs_MMMG	0.41131	0.66806
AfrBeer_vs_MosBeer	0.17399	0.3325
AfrBeer_vs_MosR1_WINE	0.11909	0.27327
AfrBeer_vs_MosR3_Sake	0.10505	0.50738
AfrBeer_vs_MosR3	0.12935	0.25847
AfrBeer_vs_MosR3_Wine	0.1657	0.36594
AfrBeer_vs_MR2_Wine	0.20207	0.46001
AfrBeer_vs_NortAmOak	0.30966	0.52539
AfrBeer_vs_Sake_AsianFerm	0.37278	0.677
AfrBeer_vs_SAM1	0.45951	0.72747
AfrBeer_vs_SAM2	0.18646	0.4297
AfrBeer_vs_SAM3	0.20556	0.33195
AfrBeer_vs_Taiwanese	0.4951	0.79186
AfrBeer_vs_Taiwan	0.39083	0.68875
AfrBeer_vs_Tamaulipas	0.48366	0.62771
AfrBeer_vs_Tequila	0.21462	0.34483
AfrBeer_vs_Wine12	0.24221	0.54142
AfrBeer_vs_Wine14	0.33406	0.55367
AfricanPalmWine_vs_AleBeer	0.33488	0.55478
AfricanPalmWine_vs_Alpechin	0.54199	0.79743
AfricanPalmWine_vs_AsianIslands_MR3	0.20132	0.40636
AfricanPalmWine_vs_CHNIII	0.3545	0.49128
AfricanPalmWine_vs_CHNI	0.37081	0.75971
AfricanPalmWine_vs_CHNIV	0.34416	0.6003
AfricanPalmWine_vs_FEAsia	0.057891	0.563
AfricanPalmWine_vs_FERussia	0.31472	0.53657
AfricanPalmWine_vs_FG	0.56971	0.82619
AfricanPalmWine_vs_FrenDairy	0.32539	0.51871
AfricanPalmWine_vs_Mal19yCHNV	0.28691	0.4776
AfricanPalmWine_vs_MedOak	0.43205	0.68143
AfricanPalmWine_vs_MixOrigin8	0.32925	0.51133
AfricanPalmWine_vs_MMMG	0.42714	0.73768
AfricanPalmWine_vs_MosBeer	0.35249	0.5717
AfricanPalmWine_vs_MosR1_WINE	0.3499	0.56532
AfricanPalmWine_vs_MosR3_Sake	0.08059	0.56373
AfricanPalmWine_vs_MosR3	0.18073	0.36548
