Sample_Name,Strain_Alias,Phylogenetic_Clade,ID,Lib_protocol,SRA
DL5,DL5,Mexican_Agave_2,DK001c27,PE,
1602a,1602a,Mexican_Agave_2,DK003c56,PE,
MGL11,MGL11,Mexican_Agave_2,DK016c5,PE,
MGL21,MGL21,Mexican_Agave_2,DK017c4,PE,
MGL27,MGL27,Mexican_Agave_2,DK018c4,PE,
M4T3,M4T3,Mexican_Agave_2,DK019c1,PE,
1103,1103,Tequila_Distillery,DS002c10,PE,
1178,1178,Mexican_Agave_2,DS002c4,PE,
1147,1147,Mexican_Agave_2,DS002c5,PE,
1168,1168,Mexican_Agave_2,DS002c6,PE,
YMX003697,YMX003697,Mexican_Agave_2,XA017c1,PE,
YMX003553,YMX003553,Mexican_Agave_2,XA023c1,PE,
YMX003625,YMX003625,Mexican_Agave_2,XA030c1,PE,
YMX003673,YMX003673,Mexican_Agave_2,XA031c2,PE,
YMX001298,YMX001298,Mexican_Agave_2,XA055c2,PE,
YMX001684,YMX001684,Mexican_Agave_2,XA057c4,PE,
YMX000673,YMX000673,Mexican_Agave_2,XA070c1,PE,
YMX001756,YMX001756,Mexican_Agave_2,XA072c4,PE,
YMX001922,YMX001922,Mexican_Agave_2,XA074c2,PE,
YMX001566,YMX001566,Mexican_Agave_2,XA081c6,PE,
YMX002185,YMX002185,Mexican_Agave_2,XA083c1,PE,
YMX002190,YMX002190,Mexican_Agave_2,XA083c6,PE,
YMX002116,YMX002116,Mexican_Agave_2,XA097c4,PE,
YMX002090,YMX002090,Mexican_Agave_2,XA098c2,PE,
YMX002521,YMX002521,Mexican_Agave_2,XA107c1,PE,
YMX002665,YMX002665,Mexican_Agave_2,XA108c1,PE,
YMX003402,YMX003402,Mexican_Agave_1,XA121c18,PE,
YMX003404,YMX003404,Mexican_Agave_1,XA121c20,PE,
YMX003390,YMX003390,Mexican_Agave_1,XA121c6,PE,
YMX003337,YMX003337,Wild_North_American,XA124c1,PE,
YMX001901,YMX001901,Wild_North_American,XA125c5,PE,
YMX001945,YMX001945,Wild_North_American,XA126c1,PE,
YMX001949,YMX001949,Wild_North_American,XA126c5,PE,
YMX001951,YMX001951,Mexican_Agave_1,XA126c7,PE,
YMX002458,YMX002458,Mexican_Agave_2,XA131c10,PE,
YMX002461,YMX002461,Mexican_Agave_2,XA131c13,PE,
YMX002466,YMX002466,Mexican_Agave_2,XA131c18,PE,
YMX002449,YMX002449,Mexican_Agave_2,XA131c1,PE,
YMX002468,YMX002468,Mexican_Agave_2,XA131c20,PE,
YMX002450,YMX002450,Mexican_Agave_2,XA131c2,PE,
YMX002452,YMX002452,Mexican_Agave_2,XA131c4,PE,
YMX002642,YMX002642,Mexican_Agave_2,XA132c2,PE,
YMX002573,YMX002573,Mexican_Agave_2,XA133c5,PE,
YMX002401,YMX002401,Mexican_Agave_2,XA134c1,PE,
YMX003889,YMX003889,Mexican_Agave_2,XA142c1,PE,
YMX002479,YMX002479,Mexican_Agave_2,XA143c7,PE,
YMX002547,YMX002547,Mexican_Agave_2,XA144c3,PE,
YMX002427,YMX002427,Mexican_Agave_2,XA145c3,PE,
YMX002353,YMX002353,Mexican_Agave_2,XA146c1,PE,
YMX002690,YMX002690,Mexican_Agave_2,XA147c2,PE,
YMX002934,YMX002934,Mexican_Agave_2,XA151c6,PE,
