ID,Lib_Protocol,SRA,col0,ID_fasta,GenesSAPA_onlySACE,PhyloGroup_SACE469,Region_Pre,Region_New,YMX_NumID,Subgroup_New,Subgroup_Pre,Figura2
DK001c27,PE,,0,DK001c27,179,MMMG,Southcentral,South central,YMX004184,MMMG_South central,MMMG_Southcentral,1
DK003c56,PE,,1,DK003c56,141,MMMG,Center,Central highlands,YMX004326,MMMG_Central highlands,MMMG_Center,1
DK016c5,PE,,2,DK016c5,139,MMMG,Balsas_basin,Balsas basin,YMX004225,MMMG_Balsas basin,MMMG_Balsas_basin,1
DK017c4,PE,,3,DK017c4,157,MMMG,Balsas_basin,Balsas basin,YMX004231,MMMG_Balsas basin,MMMG_Balsas_basin,1
DK018c4,PE,,4,DK018c4,139,MMMG,Balsas_basin,Balsas basin,YMX004244,MMMG_Balsas basin,MMMG_Balsas_basin,1
DK019c1,PE,,5,DK019c1,130,MMMG,Balsas_basin,Balsas basin,YMX004226,MMMG_Balsas basin,MMMG_Balsas_basin,1
DS002c10,PE,,6,DS002c10,65,Tequila,Far_northwest,Northwest,YMX004542,Tequila_Northwest,Tequila_Far_northwest,1
DS002c4,PE,,7,DS002c4,142,MMMG,Far_northwest,Northwest,YMX004525,MMMG_Northwest,MMMG_Far_northwest,1
DS002c5,PE,,8,DS002c5,144,MMMG,Far_northwest,Northwest,YMX004528,MMMG_Northwest,MMMG_Far_northwest,1
XA017c1,PE,,10,XA017c1,135,MMMG,Balsas_basin,Balsas basin,YMX003697,MMMG_Balsas basin,MMMG_Balsas_basin,1
XA023c1,PE,,11,XA023c1,139,MMMG,Balsas_basin,Balsas basin,YMX003553,MMMG_Balsas basin,MMMG_Balsas_basin,1
XA030c1,PE,,12,XA030c1,133,MMMG,Balsas_basin,Balsas basin,YMX003625,MMMG_Balsas basin,MMMG_Balsas_basin,1
XA057c4,PE,,15,XA057c4,167,MMMG,Southcentral,South central,YMX001684,MMMG_South central,MMMG_Southcentral,1
XA070c1,PE,,16,XA070c1,145,MMMG,Southcentral,South central,YMX000673,MMMG_South central,MMMG_Southcentral,1
