01G00040,YAL067C
01G00060,YAL062W
01G00070,YAL061W
01G00080,YAL060W
01G00090,YAL059W
01G00100,YAL058W
01G00110,YAL056W
01G00120,YAL055W
01G00130,YAL054C
01G00140,YAL053W
01G00150,YAL051W
01G00160,YAL049C
01G00170,YAL048C
01G00180,YAL047C
01G00250,YAL040C
01G00260,YAL039C
01G00280,YAL037W
01G00290,YAL036C
01G00300,YAL035W
01G00310,YAL034W-A
01G00320,YAL034C
01G00730,NA
01G00750,NA
01G00760,YAR027W
01G00770,YAR028W
01G00780,YAR031W/YGL053W
01G00800,YAR029W
01G00810,YAR035W
01G00820,YAR042W
01G00830,YAR050W
01G00840,NA
01G00845,BIO6
01G00850,NA
01G00860,YAR071W/YHR215W
02G00010,NA
02G00020,YCR106W
02G00030,YCR105W
02G00040,NA
02G00300,YBL078C
02G00310,YBL076C
02G00320,YBL075C
02G00330,YBL074C
02G00500,YBL054W
02G00620,YBL039W-B
02G00700,YBL032W
02G01090,YBR007C
02G01100,YBR008C
02G01170,YBR017C
02G01210,YBR021W
02G01220,YBR022W
02G01230,YBR023C
02G01240,YBR024W
02G01250,YBR025C
02G01280,YBR029C
02G01310,NA
02G01320,YBR033W
02G01330,YBR034C
02G01340,YBR035C
02G01350,YBR036C
02G01360,YBR037C
02G01370,YBR038W
02G01380,YBR039W
02G01390,YBR040W
02G01400,YBR041W
02G01410,YBR042C
02G01420,YBR043C
02G01430,YBR044C
02G01440,YBR045C
02G01450,YBR046C
02G01460,YBR047W
02G01470,YDR025W/YBR048W
02G01480,YBR049C
02G01490,YBR050C
02G01500,YBR052C
02G01590,YBR060C
02G01610,YBR061C
02G01620,YBR062C
02G01630,YBR063C
02G01640,YBR065C
02G01650,YBR066C
02G01660,YBR067C
02G01670,YBR068C
02G01680,YBR069C
02G01690,YBR070C
02G01700,YBR071W
02G01710,YBR072W
02G01720,YBR073W
02G01730,YBR074W
02G01740,YBR076W
02G01750,YBR077C
02G01760,YBR078W
02G01770,YBR079C
02G02430,YBR149W
02G02440,YBR150C
02G02450,YBR151W
02G02460,YBR152W
02G02470,YBR153W
02G02480,YBR154C
02G02490,YBR155W
02G02790,YBR186W
02G02800,YBR187W
02G02810,YBR188C
02G02910,YBR199W
02G03790,YBR293W
02G03800,YBR294W
02G03810,YBR295W
02G03820,YBR296C
02G03830,YBR297W
02G03840,NA
03G00500,YCL009C
03G00510,YCL008C
03G00520,YCL005W-A
03G00530,YCL005W
03G00540,YCL004W
03G00550,YCL002C
03G00560,YCL001W
03G00570,NA
03G00580,YCR002C
03G00590,YCR003W
03G00600,YCR004C
03G00610,YCR005C
03G00620,YCR008W
03G00630,YCR009C
03G00640,YCR010C
03G01160,YCR072C
03G01170,YCR073C
03G01180,YCR073W-A
03G01190,YCR075C
03G01200,YCR075W-A
03G01210,YCR076C
03G01400,YCR098C
03G01410,YJL222W
04G00020,YJR160C/YDL247W
04G00030,YDL246C
04G00040,YJR158W/YDL245C
04G00050,YJR156C/YDL244W
04G00060,NA
04G00070,YDL241W
04G00080,YDL240W
04G00090,YDL239C
04G00100,YDL238C
04G00110,YDL237W
04G00120,YDL236W
04G00130,YDL235C
04G00140,YDL234C
04G00200,YDL226C
04G00210,YDL225W
04G00220,YDL224C
