ID,Row_Names_lower,Het_IS,Hom_SAPA_IS,Hom_SACE_IS,Introgressions,fractionHet,PhyloGroup_SACE469,ID,GenesSAPA_onlySACE,SACE217_plus_Alpechin,SACE217_plus_Alpechin_2,PhyloGroup_Fig3_MMMGsinclonas,Scer_PCT,Spar_PCT
BR001c1,br001c1,1,9,0,10,0.1,others,,NA,,Others,Others,94.0304,0.171
BR002c1,br002c1,17,53,0,70,0.242857143,others,,NA,,Others,Others,86.1308,1.5746
BR003c1,br003c1,15,30,2,47,0.319148936,others,,NA,,Others,Others,92.6168,1.0199
BR004c1,br004c1,18,30,2,50,0.36,others,,NA,,Others,Others,90.5486,0.9452
BR005c1,br005c1,14,17,0,31,0.451612903,others,,NA,,Others,Others,90.3722,0.677
BR006c1,br006c1,15,27,0,42,0.357142857,others,,NA,,Others,Others,90.974,0.8526
BR007c1,br007c1,12,48,0,60,0.2,others,,NA,,Others,Others,92.095,1.5675
BR009c1,br009c1,5,12,0,17,0.294117647,others,,NA,,Others,Others,94.1392,0.3282
BR012c1,br012c1,13,30,1,44,0.295454545,others,,NA,,Others,Others,91.9832,0.8859
BR013c1,br013c1,19,43,0,62,0.306451613,others,,NA,,Others,Others,89.616,1.1846
BR014c1,br014c1,18,43,0,61,0.295081967,others,,NA,,Others,Others,90.1132,1.1523
BR015c1,br015c1,14,59,1,74,0.189189189,others,,NA,,Others,Others,84.3554,1.555
BR016c1,br016c1,17,59,0,76,0.223684211,others,,NA,,Others,Others,87.6404,1.5964
BR020c1,br020c1,2,10,0,12,0.166666667,others,,NA,,Others,Others,91.8524,0.2145
BR022c1,br022c1,9,27,0,36,0.25,others,,NA,,Others,Others,88.9118,0.6664
BR023c1,br023c1,56,34,0,90,0.622222222,others,,NA,,Others,Others,92.4692,2.282
BR024c1,br024c1,9,32,0,41,0.219512195,others,,NA,,Others,Others,92.1532,0.8616
BR025c1,br025c1,7,57,0,64,0.109375,others,,NA,,Others,Others,91.219,1.4964
BR026c1,br026c1,2,8,0,10,0.2,others,,NA,,Others,Others,90.4637,0.2041
BR027c1,br027c1,8,47,0,55,0.145454545,others,,NA,,Others,Others,89.5842,1.2335
BR028c1,br028c1,9,27,0,36,0.25,others,,NA,,Others,Others,91.0436,0.6296
DK001c10,dk001c10,43,81,1,125,0.344,MMMG,dk001c10,141,MMMG,MMMG,MMMG,92.7063,2.9534
DK001c27,dk001c27,92,72,2,166,0.554216867,MMMG,dk001c27,179,MMMG,MMMG,MMMG,93.087,3.6631
DK003c56,dk003c56,21,102,1,124,0.169354839,MMMG,dk003c56,141,MMMG,MMMG,MMMG,92.2432,2.8043
DK016c5,dk016c5,25,98,0,123,0.203252033,MMMG,dk016c5,139,MMMG,MMMG,MMMG,92.5621,2.78
DK017c4,dk017c4,36,104,1,141,0.255319149,MMMG,dk017c4,157,MMMG,MMMG,MMMG,92.5282,2.9688
DK018c4,dk018c4,20,104,0,124,0.161290323,MMMG,dk018c4,139,MMMG,MMMG,MMMG,92.1948,2.6281
DK019c1,dk019c1,19,98,0,117,0.162393162,MMMG,dk019c1,130,MMMG,MMMG,MMMG,92.159,2.6499
DS002c4,ds002c4,9,117,2,128,0.0703125,MMMG,ds002c4,142,MMMG,MMMG,MMMG,91.5834,2.8226
DS002c5,ds002c5,12,119,1,132,0.090909091,MMMG,ds002c5,144,MMMG,MMMG,MMMG,91.5512,2.9144
DS002c6,ds002c6,12,121,1,134,0.089552239,MMMG,,NA,,NO,NA,91.5605,2.9338
ERR1308637,err1308637,10,39,0,49,0.204081633,others,,NA,,Others,Others,94.7195,1.5851
ERR1308649,err1308649,4,11,0,15,0.266666667,others,,NA,,Others,Others,94.4376,0.455
ERR1308655,err1308655,4,15,0,19,0.210526316,others,,NA,,Others,Others,95.0243,0.5958
ERR1308685,err1308685,4,17,0,21,0.19047619,others,,NA,,Others,Others,95.0618,0.5854
ERR1308708,err1308708,3,16,0,19,0.157894737,others,,NA,,Others,Others,95.1477,0.615
ERR1308722,err1308722,4,15,0,19,0.210526316,others,,NA,,Others,Others,94.8453,0.5214
ERR1308776,err1308776,5,15,0,20,0.25,others,,NA,,Others,Others,94.8859,0.5055
ERR1308783,err1308783,4,17,0,21,0.19047619,others,,NA,,Others,Others,95.2582,0.5579
