Gene,Model
ATP6_2_ATP6,MFP
ATP6_2_COX1,MFP
COB_2_COX2,MFP
COB_2_OLI1,MFP
COX1_2_COX1,MFP
COX2_2_COX1,MFP
COX2_2_COX2,MFP
COX2_2_COX3,MFP
COX3_2_COX3,MFP
OLI1_2_COX1,MFP
OLI1_2_COX3,MFP
OLI1_2_OLI1,MFP
VAR1_2_COX1,MFP
VAR1_2_COX2,MFP
VAR1_2_COX3,MFP
VAR1_2_VAR1,MFP
YPS138_01G00040_2_YPS138_01G00040,K2P
YPS138_01G00060_2_YPS138_01G00060,TNe+ASC
YPS138_01G00060_2_YPS138_01G00070,K2P
YPS138_01G00060_2_YPS138_01G00080,K2P
YPS138_01G00060_2_YPS138_01G00130,K2P
YPS138_01G00070_2_YPS138_01G00070,K2P+ASC
YPS138_01G00070_2_YPS138_01G00080,K2P+ASC
YPS138_01G00080_2_YPS138_01G00080,K2P+ASC
YPS138_01G00120_2_YPS138_01G00180,TPM2
YPS138_01G00150_2_YPS138_01G00160,TPM2
YPS138_01G00150_2_YPS138_01G00170,TPM2
YPS138_01G00150_2_YPS138_01G00180,K3P
YPS138_01G00170_2_YPS138_01G00180,K2P+ASC
YPS138_01G00180_2_YPS138_01G00180,K2P+ASC
YPS138_01G00310_2_YPS138_01G00320,K2P+ASC
YPS138_01G00730_2_YPS138_01G00730,K2P
YPS138_01G00750_2_YPS138_01G00750,MFP
YPS138_01G00750_2_YPS138_01G00760,K2P
YPS138_01G00750_2_YPS138_01G00770,K2P
YPS138_01G00750_2_YPS138_01G00780,K2P
YPS138_01G00780_2_YPS138_01G00780,MFP
YPS138_01G00800_2_YPS138_01G00800,K2P+ASC
YPS138_01G00800_2_YPS138_01G00820,HKY+F
YPS138_01G00800_2_YPS138_01G00830,TN+F
YPS138_01G00800_2_YPS138_01G00860,TN+F
YPS138_01G00820_2_YPS138_01G00820,K2P
YPS138_01G00820_2_YPS138_01G00830,K2P
YPS138_01G00820_2_YPS138_01G00860,K2P
YPS138_01G00830_2_YPS138_01G00830,K2P
YPS138_01G00840_2_YPS138_01G00860,MFP
YPS138_01G00845_2_YPS138_01G00845,MFP
YPS138_01G00845_2_YPS138_01G00850,MFP
YPS138_01G00845_2_YPS138_01G00860,MFP
YPS138_01G00850_2_YPS138_01G00850,MFP
YPS138_01G00850_2_YPS138_01G00860,MFP
YPS138_01G00860_2_YPS138_01G00860,MFP
YPS138_02G00010_2_YPS138_02G00040,K2P
YPS138_02G00300_2_YPS138_02G00330,TIM3e+ASC
YPS138_02G00500_2_YPS138_02G00500,K2P+ASC
YPS138_02G00620_2_YPS138_02G00620,K2P+ASC
YPS138_02G00700_2_YPS138_02G00700,TNe+ASC
YPS138_02G01170_2_YPS138_02G01170,K2P
YPS138_02G01210_2_YPS138_02G01220,TPM2
YPS138_02G01220_2_YPS138_02G01220,K2P+ASC
YPS138_02G01220_2_YPS138_02G01250,K3P
YPS138_02G01230_2_YPS138_02G01230,K3P
YPS138_02G01310_2_YPS138_02G01360,TPM2
YPS138_02G01310_2_YPS138_02G01370,TPM2
YPS138_02G01320_2_YPS138_02G01350,TPM2
YPS138_02G01320_2_YPS138_02G01360,TPM2
YPS138_02G01320_2_YPS138_02G01370,TPM2
YPS138_02G01330_2_YPS138_02G01350,K2P
YPS138_02G01330_2_YPS138_02G01360,K2P
YPS138_02G01340_2_YPS138_02G01360,K3P
YPS138_02G01350_2_YPS138_02G01350,K2P+ASC
YPS138_02G01350_2_YPS138_02G01360,K2P+ASC
YPS138_02G01350_2_YPS138_02G01370,K2P
YPS138_02G01370_2_YPS138_02G01390,TPM2
YPS138_02G01410_2_YPS138_02G01410,K3P
YPS138_02G01410_2_YPS138_02G01420,K2P
YPS138_02G01420_2_YPS138_02G01420,K2P+ASC
YPS138_02G01490_2_YPS138_02G01500,K2P+ASC
YPS138_02G01720_2_YPS138_02G01770,TPM2
YPS138_02G01730_2_YPS138_02G01770,TPM2
YPS138_02G01740_2_YPS138_02G01740,TPM2+ASC
YPS138_02G01740_2_YPS138_02G01760,K2P
YPS138_02G01740_2_YPS138_02G01770,K2P
YPS138_02G01760_2_YPS138_02G01770,TPM2
YPS138_02G02430_2_YPS138_02G02490,K2P
YPS138_02G02790_2_YPS138_02G02810,TPM2
YPS138_02G02790_2_YPS138_02G02820,TPM2
YPS138_02G02790_2_YPS138_02G02830,TPM2
YPS138_02G02910_2_YPS138_02G02910,K2P
YPS138_02G03790_2_YPS138_02G03790,TPM2+ASC
YPS138_02G03790_2_YPS138_02G03810,TPM2
YPS138_02G03790_2_YPS138_02G03830,TPM2
YPS138_02G03790_2_YPS138_02G03840,TPM2
YPS138_02G03800_2_YPS138_02G03810,K2P
YPS138_02G03800_2_YPS138_02G03830,TPM2
YPS138_03G00500_2_YPS138_03G00610,HKY+F
YPS138_03G01410_2_YPS138_03G01410,K2P
YPS138_04G00010_2_YPS138_04G00010,MFP
YPS138_04G00020_2_YPS138_04G00050,K2P
YPS138_04G00050_2_YPS138_04G00050,MFP
YPS138_04G00050_2_YPS138_04G00060,K2P
YPS138_04G00060_2_YPS138_04G00060,K2P
YPS138_04G00060_2_YPS138_04G00100,TPM3
YPS138_04G00120_2_YPS138_04G00140,K2P+ASC
YPS138_04G00200_2_YPS138_04G00200,K2P+ASC
YPS138_04G00200_2_YPS138_04G00210,K2P+ASC
YPS138_04G00200_2_YPS138_04G00220,K2P+ASC
YPS138_04G00220_2_YPS138_04G00220,TPM3+ASC
YPS138_04G00280_2_YPS138_04G00430,TPM2u+F
YPS138_04G00920_2_YPS138_04G00960,K3P+ASC
YPS138_04G02300_2_YPS138_04G02310,TPM2
YPS138_04G02540_2_YPS138_04G02540,TPM2
YPS138_04G02540_2_YPS138_04G02550,K2P
YPS138_04G02550_2_YPS138_04G02550,K2P
YPS138_04G02630_2_YPS138_04G02630,K2P
YPS138_04G02690_2_YPS138_04G02890,TVM+F
YPS138_04G02940_2_YPS138_04G03200,TPM2u+F
YPS138_04G03180_2_YPS138_04G03200,K2P
YPS138_04G03960_2_YPS138_04G04540,TVM+F
YPS138_04G04070_2_YPS138_04G04070,K2P+ASC
YPS138_04G04070_2_YPS138_04G04080,TPM3+ASC
YPS138_04G04070_2_YPS138_04G04100,TPM3
YPS138_04G04080_2_YPS138_04G04080,TPM3+ASC
YPS138_04G04080_2_YPS138_04G04090,TPM3+ASC
YPS138_04G04110_2_YPS138_04G04110,TNe+ASC
YPS138_04G04110_2_YPS138_04G04120,K2P+ASC
YPS138_04G04120_2_YPS138_04G04120,K2P+ASC
YPS138_04G04800_2_YPS138_04G05010,TPM2u+F+ASC
YPS138_04G05120_2_YPS138_04G05130,TNe+ASC
YPS138_04G05270_2_YPS138_04G05270,TNe+ASC
YPS138_04G05330_2_YPS138_04G05340,TPM3
YPS138_04G05550_2_YPS138_04G05710,TPM3
YPS138_04G05770_2_YPS138_04G05830,K2P
YPS138_04G05780_2_YPS138_04G05820,K2P+ASC
YPS138_04G05830_2_YPS138_04G05920,TIM2e+ASC
YPS138_04G07060_2_YPS138_04G07090,K2P
YPS138_04G07090_2_YPS138_04G07090,K3P+ASC
YPS138_05G00050_2_YPS138_05G00050,HKY+F
YPS138_05G01230_2_YPS138_05G01250,K2P
